5 , 04/05/2012 09:47:27:367 , ApplicationProcessor , checkDuplicateApplications , approved 10 app ref no 2407060021
5 , 04/05/2012 09:47:27:369 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:370 , ApplicationProcessor , checkDuplicateApplications , approved 11 app ref no 2806070087
5 , 04/05/2012 09:47:27:372 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:373 , ApplicationProcessor , checkDuplicateApplications , approved 12 app ref no 2709060098
5 , 04/05/2012 09:47:27:375 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:376 , ApplicationProcessor , checkDuplicateApplications , approved 13 app ref no 1009030002
5 , 04/05/2012 09:47:27:378 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:379 , ApplicationProcessor , checkDuplicateApplications , approved 14 app ref no 1503050026
5 , 04/05/2012 09:47:27:381 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:382 , ApplicationProcessor , checkDuplicateApplications , approved 15 app ref no 3009050062
5 , 04/05/2012 09:47:27:386 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:388 , ApplicationProcessor , checkDuplicateApplications , approved 16 app ref no 0209060026
5 , 04/05/2012 09:47:27:390 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:391 , ApplicationProcessor , checkDuplicateApplications , approved 17 app ref no 2812060448
5 , 04/05/2012 09:47:27:395 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:397 , ApplicationProcessor , checkDuplicateApplications , approved 18 app ref no 3108040011
5 , 04/05/2012 09:47:27:399 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:400 , ApplicationProcessor , checkDuplicateApplications , approved 19 app ref no 1805070007
5 , 04/05/2012 09:47:27:402 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:403 , ApplicationProcessor , checkDuplicateApplications , approved 20 app ref no 2701070012
5 , 04/05/2012 09:47:27:405 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:406 , ApplicationProcessor , checkDuplicateApplications , approved 21 app ref no 1610070013
5 , 04/05/2012 09:47:27:408 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:410 , ApplicationProcessor , checkDuplicateApplications , approved 22 app ref no 0806060023
5 , 04/05/2012 09:47:27:411 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:413 , ApplicationProcessor , checkDuplicateApplications , approved 23 app ref no 1503060053
5 , 04/05/2012 09:47:27:414 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:416 , ApplicationProcessor , checkDuplicateApplications , approved 24 app ref no 2906070111
5 , 04/05/2012 09:47:27:417 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:419 , ApplicationProcessor , checkDuplicateApplications , approved 25 app ref no 2803060225
5 , 04/05/2012 09:47:27:420 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:422 , ApplicationProcessor , checkDuplicateApplications , approved 26 app ref no 1712070027
5 , 04/05/2012 09:47:27:423 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:425 , ApplicationProcessor , checkDuplicateApplications , approved 27 app ref no 1312050088
5 , 04/05/2012 09:47:27:426 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:428 , ApplicationProcessor , checkDuplicateApplications , approved 28 app ref no 1001060009
5 , 04/05/2012 09:47:27:429 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:431 , ApplicationProcessor , checkDuplicateApplications , approved 29 app ref no 1001060011
5 , 04/05/2012 09:47:27:432 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:434 , ApplicationProcessor , checkDuplicateApplications , approved 30 app ref no 1004070023
5 , 04/05/2012 09:47:27:435 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:437 , ApplicationProcessor , checkDuplicateApplications , approved 31 app ref no 0106070022
5 , 04/05/2012 09:47:27:438 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:440 , ApplicationProcessor , checkDuplicateApplications , approved 32 app ref no 0106070019
5 , 04/05/2012 09:47:27:441 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:443 , ApplicationProcessor , checkDuplicateApplications , approved 33 app ref no 2705080106
5 , 04/05/2012 09:47:27:444 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:446 , ApplicationProcessor , checkDuplicateApplications , approved 34 app ref no 2205060007
5 , 04/05/2012 09:47:27:447 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:449 , ApplicationProcessor , checkDuplicateApplications , approved 35 app ref no 2809070108
5 , 04/05/2012 09:47:27:450 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:452 , ApplicationProcessor , checkDuplicateApplications , approved 36 app ref no 0802080041
5 , 04/05/2012 09:47:27:453 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:455 , ApplicationProcessor , checkDuplicateApplications , approved 37 app ref no 1811060004
5 , 04/05/2012 09:47:27:456 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:460 , ApplicationProcessor , checkDuplicateApplications , approved 38 app ref no 0106060011
5 , 04/05/2012 09:47:27:462 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 040512000002
5 , 04/05/2012 09:47:27:463 , ApplicationProcessor , checkDuplicateApplications , approved 39 app ref no 2707060079
