5 , 04/05/2012 10:03:58:476 , ApplicationProcessor , checkDuplicateApplications , approved 20 app ref no 2701070012
5 , 04/05/2012 10:03:58:477 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:479 , ApplicationProcessor , checkDuplicateApplications , approved 21 app ref no 1610070013
5 , 04/05/2012 10:03:58:480 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:482 , ApplicationProcessor , checkDuplicateApplications , approved 22 app ref no 0806060023
5 , 04/05/2012 10:03:58:483 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:485 , ApplicationProcessor , checkDuplicateApplications , approved 23 app ref no 1503060053
5 , 04/05/2012 10:03:58:486 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:488 , ApplicationProcessor , checkDuplicateApplications , approved 24 app ref no 2906070111
5 , 04/05/2012 10:03:58:489 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:491 , ApplicationProcessor , checkDuplicateApplications , approved 25 app ref no 2803060225
5 , 04/05/2012 10:03:58:493 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:494 , ApplicationProcessor , checkDuplicateApplications , approved 26 app ref no 1712070027
5 , 04/05/2012 10:03:58:496 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:497 , ApplicationProcessor , checkDuplicateApplications , approved 27 app ref no 1312050088
5 , 04/05/2012 10:03:58:499 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:501 , ApplicationProcessor , checkDuplicateApplications , approved 28 app ref no 1001060009
5 , 04/05/2012 10:03:58:502 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:504 , ApplicationProcessor , checkDuplicateApplications , approved 29 app ref no 1001060011
5 , 04/05/2012 10:03:58:505 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:506 , ApplicationProcessor , checkDuplicateApplications , approved 30 app ref no 1004070023
5 , 04/05/2012 10:03:58:508 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:509 , ApplicationProcessor , checkDuplicateApplications , approved 31 app ref no 0106070022
5 , 04/05/2012 10:03:58:511 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:513 , ApplicationProcessor , checkDuplicateApplications , approved 32 app ref no 0106070019
5 , 04/05/2012 10:03:58:514 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:516 , ApplicationProcessor , checkDuplicateApplications , approved 33 app ref no 2705080106
5 , 04/05/2012 10:03:58:519 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:521 , ApplicationProcessor , checkDuplicateApplications , approved 34 app ref no 2205060007
5 , 04/05/2012 10:03:58:523 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:524 , ApplicationProcessor , checkDuplicateApplications , approved 35 app ref no 2809070108
5 , 04/05/2012 10:03:58:526 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:527 , ApplicationProcessor , checkDuplicateApplications , approved 36 app ref no 0802080041
5 , 04/05/2012 10:03:58:529 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:530 , ApplicationProcessor , checkDuplicateApplications , approved 37 app ref no 1811060004
5 , 04/05/2012 10:03:58:532 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:533 , ApplicationProcessor , checkDuplicateApplications , approved 38 app ref no 0106060011
5 , 04/05/2012 10:03:58:535 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:536 , ApplicationProcessor , checkDuplicateApplications , approved 39 app ref no 2707060079
5 , 04/05/2012 10:03:58:538 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:539 , ApplicationProcessor , checkDuplicateApplications , approved 40 app ref no 3003050046
5 , 04/05/2012 10:03:58:541 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 030512000325
5 , 04/05/2012 10:03:58:542 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 0 app ref no 020512000236
5 , 04/05/2012 10:03:58:544 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000236and 030512000325
5 , 04/05/2012 10:03:58:545 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000236
5 , 04/05/2012 10:03:58:547 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 1 app ref no 020512000238
5 , 04/05/2012 10:03:58:548 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000238and 030512000325
5 , 04/05/2012 10:03:58:551 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000238
